hour,minute_start,count,jam_sum
13,25,2,0.281091
13,30,2,0.332424
13,35,2,0.282567
13,40,2,0.300221
13,45,2,0.267118
13,50,2,0.30007
13,55,2,0.27059
14,0,2,0.347707
14,5,1,0.159693
14,10,2,0.302955
14,15,2,0.329161
14,20,2,0.371484
14,25,2,0.362769
14,30,2,0.363458
14,35,2,0.290816
14,40,2,0.294521
14,45,2,0.288012
14,50,2,0.374959
14,55,2,0.296732
15,0,3,0.443832
15,5,3,0.454427
15,10,3,0.457232
15,15,3,0.531085
15,20,2,0.320865
15,25,3,0.551237
15,30,4,0.755076
15,35,5,1.452916
15,40,3,0.55171
15,45,4,0.764503
15,50,4,0.80307
15,55,3,0.55591
16,0,3,0.715309
16,5,2,0.374045
16,10,2,0.332842
16,15,2,0.363434
16,20,2,0.505622
16,25,2,0.513174
16,30,2,0.397294
16,35,2,0.369307
16,40,2,0.479757
16,45,2,0.423515
16,50,2,0.314128
16,55,3,0.508566
17,0,2,0.333531
17,5,2,0.26857
17,10,3,0.354801
17,15,3,0.500199
17,20,3,0.603709
17,25,3,0.574026
17,30,3,0.487424
17,35,3,0.444533
17,40,3,0.428295
17,45,3,0.47503
17,50,3,0.737163
17,55,3,0.760871
18,0,2,0.426758
18,5,2,0.427581
18,10,2,0.488552
18,15,2,0.408844
18,20,2,0.348093
18,25,2,0.650375
18,30,2,0.708345
18,35,2,0.629109
18,40,2,0.458585
18,45,2,0.476835
18,50,2,0.726639
18,55,2,0.704218
19,0,2,0.837622
19,5,2,0.880907
19,10,2,0.860964
19,15,2,0.940821
19,20,2,0.91892
19,25,2,0.934246
19,30,2,0.168251
19,35,2,0.099032
19,40,2,0.100809
19,45,2,0.160446
19,50,2,0.134369
19,55,2,0.151936
20,0,2,0.093092
20,5,2,0.110565
20,10,2,0.111338
20,15,2,0.25452
20,20,2,0.154093
20,25,2,0.261404
20,30,2,0.189916
20,35,2,0.200307
20,40,2,0.375227
20,45,2,0.506809
20,50,1,0.071711
20,55,2,0.804293
21,0,2,0.772673
21,5,2,0.695319
21,10,2,0.501227
21,15,2,0.240858
21,20,2,0.228976
21,25,2,0.236582
21,30,2,0.236829
21,35,2,0.196565
21,40,2,0.210528
21,45,2,0.239116
21,50,2,0.213295
21,55,2,0.196553
22,0,2,0.188972
22,5,2,0.207127
22,10,2,0.17263
22,15,2,0.132859
22,20,2,0.134953
22,25,2,0.112862
22,30,2,0.13971
22,35,2,0.123973
22,40,2,0.095531
22,45,2,0.115593
22,50,2,0.114079
22,55,2,0.082187
23,0,2,0.080444
23,5,2,0.085791
23,10,2,0.085706
23,15,2,0.070458
23,20,2,0.066809
23,25,2,0.075028
23,30,2,0.070536
23,35,2,0.060052
23,40,2,0.067633
23,45,2,0.057712
23,50,2,0.051298
23,55,2,0.046404
