timestamp,frame_id,cctv_name,vehicle_id,speed,lane,raw_lane,dwell_time,bbox
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,1.94,0,0,7.96,"[303, 145, 427, 226]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,3.33,0,0,7.96,"[426, 109, 491, 154]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.8,2,2,7.96,"[436, 146, 544, 241]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.26,2,2,7.96,"[539, 124, 599, 182]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),5,0.39,2,2,7.96,"[544, 64, 607, 143]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,0.75,2,2,7.96,"[597, 39, 652, 118]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,0.0,1,1,3.97,"[138, 248, 430, 431]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,0.0,0,0,1.19,"[0, 237, 193, 409]"
2026-04-22 11:16:38,105,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),41,0.86,2,2,0.06,"[539, 68, 601, 181]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,1.24,0,0,11.14,"[342, 135, 449, 207]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,4.38,0,0,11.14,"[441, 108, 511, 155]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.77,2,2,11.14,"[452, 142, 551, 226]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.23,2,2,11.14,"[544, 120, 601, 178]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),5,1.07,2,2,11.14,"[551, 60, 613, 131]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,1.6,2,2,11.14,"[602, 40, 650, 113]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,0.0,1,1,7.15,"[282, 210, 454, 363]"
2026-04-22 11:16:41,143,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,0.0,0,0,4.37,"[24, 205, 249, 355]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,1.18,0,0,14.36,"[377, 127, 462, 194]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,1.51,0,0,14.36,"[457, 104, 521, 146]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.24,2,2,14.36,"[463, 135, 557, 218]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,1.33,2,2,14.36,"[549, 120, 603, 174]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,1.02,2,2,14.36,"[604, 40, 651, 112]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,1.55,1,1,10.37,"[337, 196, 480, 326]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,2.08,0,0,7.59,"[95, 184, 300, 317]"
2026-04-22 11:16:44,181,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),5,0.66,2,2,0.82,"[558, 66, 613, 123]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,0.96,0,0,17.71,"[407, 120, 490, 181]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,1.58,0,0,17.71,"[473, 98, 533, 137]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.95,2,2,17.71,"[477, 131, 563, 209]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.09,2,2,17.71,"[552, 116, 609, 170]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,0.45,2,2,17.71,"[596, 42, 648, 112]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,0.25,1,1,13.73,"[362, 183, 494, 306]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,2.26,0,0,10.95,"[168, 172, 340, 285]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),5,4.96,2,2,4.18,"[560, 63, 620, 124]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),61,0.0,0,0,0.79,"[9, 269, 133, 395]"
2026-04-22 11:16:47,220,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),57,1.24,2,2,0.09,"[563, 48, 636, 127]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,0.8,0,0,20.7,"[429, 114, 494, 166]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,1.87,0,0,20.7,"[488, 95, 541, 132]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,1.16,2,2,20.7,"[490, 129, 570, 197]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.73,2,2,20.7,"[559, 112, 609, 164]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,1.54,1,1,16.71,"[384, 174, 505, 286]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,1.39,0,0,13.93,"[225, 160, 369, 257]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),57,0.48,2,2,3.08,"[563, 56, 625, 134]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),66,0.0,0,0,1.56,"[4, 229, 200, 403]"
2026-04-22 11:16:51,255,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,0.13,2,2,1.56,"[608, 46, 650, 106]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,0.15,0,0,23.78,"[450, 109, 510, 158]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,0.05,0,0,23.78,"[498, 87, 551, 128]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.8,2,2,23.78,"[501, 121, 577, 189]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.08,2,2,23.78,"[557, 109, 610, 160]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,0.81,2,2,19.79,"[409, 165, 518, 267]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,2.29,0,0,17.01,"[270, 148, 400, 237]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),66,7.9,0,0,4.63,"[22, 209, 247, 340]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),71,0.0,1,1,2.01,"[0, 265, 298, 462]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,2.81,2,2,1.07,"[600, 40, 653, 109]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),57,0.48,2,2,1.07,"[567, 59, 622, 129]"
2026-04-22 11:16:54,290,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),73,1.01,2,2,0.81,"[565, 70, 619, 142]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,2.0,0,0,26.77,"[471, 102, 525, 147]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.14,2,2,26.77,"[509, 116, 580, 185]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,1.1,2,2,22.78,"[432, 157, 530, 250]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,2.69,0,0,20.0,"[326, 136, 435, 210]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),66,2.68,0,0,7.62,"[107, 187, 315, 294]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),80,0.0,1,1,2.63,"[0, 275, 338, 478]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.56,2,2,2.36,"[563, 92, 617, 156]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),77,2.09,2,2,0.77,"[567, 72, 619, 146]"
2026-04-22 11:16:57,325,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,0.73,0,0,0.26,"[519, 84, 569, 120]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,1.89,0,0,28.93,"[485, 97, 531, 139]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,0.81,2,2,28.93,"[515, 115, 582, 182]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,0.76,2,2,24.94,"[446, 150, 541, 239]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),33,2.51,0,0,22.16,"[358, 130, 457, 197]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),66,3.58,0,0,9.78,"[164, 172, 348, 263]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),80,0.0,1,1,4.79,"[3, 237, 371, 459]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,1.15,2,2,4.52,"[568, 93, 619, 153]"
2026-04-22 11:17:00,350,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,0.08,0,0,2.41,"[524, 85, 574, 119]"
